省级	地市级	区划代码	地名	区划级别	省会	批注
冀		131124	饶阳县	县区		
冀		131125	安平县	县区		
冀		131126	故城县	县区		
冀		131127	景县	县区		
冀		131128	阜城县	县区		
冀		131182	深州市	县区		
晋		140000	山西省	省级		
晋	太原市	140100	太原市	地市级	√	
晋		140105	小店区	县区		
晋		140106	迎泽区	县区		
晋		140107	杏花岭区	县区		
晋		140108	尖草坪区	县区		
晋		140109	万柏林区	县区		
晋		140110	晋源区	县区		
晋		140121	清徐县	县区		
晋		140122	阳曲县	县区		
晋		140123	娄烦县	县区		
晋		140181	古交市	县区		
晋	大同市	140200	大同市	地市级		
晋		140212	新荣区	县区		
晋		140213	平城区	县区		
晋		140214	云冈区	县区		
晋		140215	云州区	县区		
晋		140221	阳高县	县区		
晋		140222	天镇县	县区		
晋		140223	广灵县	县区		
晋		140224	灵丘县	县区		
晋		140225	浑源县	县区		
晋		140226	左云县	县区		
晋	阳泉市	140300	阳泉市	地市级		
晋		140302	城区	县区		
晋		140303	矿区	县区		
晋		140311	郊区	县区		
晋		140321	平定县	县区		
晋		140322	盂县	县区		
晋	长治市	140400	长治市	地市级		
晋		140403	潞州区	县区		
晋		140404	上党区	县区		
晋		140405	屯留区	县区		
晋		140406	潞城区	县区		
晋		140423	襄垣县	县区		
晋		140425	平顺县	县区		
晋		140426	黎城县	县区		
晋		140427	壶关县	县区		
晋		140428	长子县	县区		
晋		140429	武乡县	县区		
晋		140430	沁县	县区		
晋		140431	沁源县	县区		
晋	晋城市	140500	晋城市	地市级		
晋		140502	城区	县区		
晋		140521	沁水县	县区		
晋		140522	阳城县	县区		
晋		140524	陵川县	县区		
晋		140525	泽州县	县区		
晋		140581	高平市	县区		
晋	朔州市	140600	朔州市	地市级		
晋		140602	朔城区	县区		
晋		140603	平鲁区	县区		
晋		140621	山阴县	县区		
晋		140622	应县	县区		
晋		140623	右玉县	县区		
晋		140681	怀仁市	县区		
晋	晋中市	140700	晋中市	地市级		
晋		140702	榆次区	县区		
晋		140703	太谷区	县区		
晋		140721	榆社县	县区		
晋		140722	左权县	县区		
晋		140723	和顺县	县区		
晋		140724	昔阳县	县区		
晋		140725	寿阳县	县区		
晋		140727	祁县	县区		
晋		140728	平遥县	县区		
晋		140729	灵石县	县区		
晋		140781	介休市	县区		
晋	运城市	140800	运城市	地市级		
晋		140802	盐湖区	县区		
晋		140821	临猗县	县区		
晋		140822	万荣县	县区		
晋		140823	闻喜县	县区		
晋		140824	稷山县	县区		
晋		140825	新绛县	县区		
晋		140826	绛县	县区		
晋		140827	垣曲县	县区		
晋		140828	夏县	县区		
晋		140829	平陆县	县区		
晋		140830	芮城县	县区		
晋		140881	永济市	县区		
晋		140882	河津市	县区		
晋	忻州市	140900	忻州市	地市级		
晋		140902	忻府区	县区		
晋		140921	定襄县	县区		
晋		140922	五台县	县区		
晋		140923	代县	县区		
晋		140924	繁峙县	县区		
晋		140925	宁武县	县区		
晋		140926	静乐县	县区		
